date,S,I,R,susceptible,infected,recovered,cases,forecast
2020-05-12,261.5601795287253,17082.316261433174,54621.80319279466,1574.6796337565756,21920.0,48471.0,70391.0,71704.11945422782
2020-05-13,185.14702301344036,16424.60721299571,55355.92539774741,1267.6796337565756,21954.0,48744.0,70698.0,71780.53261074312
2020-05-14,132.8431378932909,15771.54267141409,56061.29382444919,1051.6796337565756,21936.0,48978.0,70914.0,71832.83649586327
2020-05-15,96.59619667880982,15130.789561735692,56738.29387534207,867.6796337565756,21906.0,49192.0,71098.0,71869.08343707776
2020-05-16,71.16177691002517,14506.943314769016,57387.57454207753,,,,,71894.51785684655
2020-05-17,53.0927207113437,13902.646721368745,58009.94019167648,,,,,71912.58691304522
2020-05-18,40.099829356748835,13319.298108120995,58606.28169627881,,,,,71925.57980439981
2020-05-19,30.646340310400046,12757.50080447146,59177.5324889747,,,,,71935.03329344616
2020-05-20,23.689151980240897,12217.350003798454,59724.64047797785,,,,,71941.9904817763
2020-05-21,18.512375794133536,11698.6171437075,60248.55011425491,,,,,71947.16725796241
2020-05-22,14.619298802310665,11200.869326506803,60750.19100844744,,,,,71951.06033495424
2020-05-23,11.661573288838635,10723.54725587344,61230.47080459426,,,,,71954.0180604677
2020-05-24,10.865781158523376,10264.576679416567,61690.237173181464,,,,,71954.81385259803
2020-05-25,10.154969497207734,9825.200300055694,62130.324364203654,,,,,71955.52466425934
2020-05-26,9.518183604173498,9404.588843538271,62551.572606614114,,,,,71956.16145015239
2020-05-27,8.946096595433016,9001.946923672514,62954.78661348861,,,,,71956.73353716113
2020-05-28,8.430739914396447,8616.511927526897,63340.73696631527,,,,,71957.24889384217
2020-05-29,7.9652817198974395,8247.552826073093,63710.16152596357,,,,,71957.71435203667
2020-05-30,7.543844998933666,7894.368997773762,64063.766790983864,,,,,71958.13578875763
2020-05-31,7.161357999346783,7556.289071637758,64402.22920411946,,,,,71958.51827575722
2020-06-01,6.813429754387141,7232.669794331901,64726.19640967028,,,,,71958.86620400217
2020-06-02,6.496247347489654,6922.894925444185,65036.28846096489,,,,,71959.18338640907
2020-06-03,6.206490001041782,6626.374163304296,65333.09898045122,,,,,71959.47314375552
2020-06-04,5.941257368860899,6342.542103058484,65617.1962733292,,,,,71959.73837638769
2020-06-05,5.69800916972859,6070.85722824052,65889.1243963463,,,,,71959.98162458683
2020-06-06,5.4745146164623355,5810.800936095392,66149.4041830447,,,,,71960.20511914008
2020-06-07,5.268809608847673,5561.87659706,66398.53422708772,,,,,71960.41082414772
2020-06-08,5.079160477740894,5323.608648154596,66636.99182512422,,,,,71960.60047327881
2020-06-09,4.904033209988819,5095.5417198896075,66865.23388065696,,,,,71960.77560054656
2020-06-10,4.742067238711111,4877.239796145071,67083.69777037278,,,,,71960.93756651785
2020-06-11,4.592053058976545,4668.285406325348,67292.80217437223,,,,,71961.08758069758
2020-06-12,4.452913021336082,4468.27884903585,67492.94787169938,,,,,71961.22672073523
2020-06-13,4.323684930577611,4276.837446312665,67684.51850251333,,,,,71961.35594882599
2020-06-14,4.2035078254295195,4093.594827681744,67867.88129824938,,,,,71961.47612593113
2020-06-15,4.0916097659141775,3918.20024295417,68043.38778103648,,,,,71961.58802399065
2020-06-16,3.9872972502577824,3750.317902888774,68211.37443361753,,,,,71961.6923365063
2020-06-17,3.8899460305187956,3589.626346753314,68372.16334097274,,,,,71961.78968772605
2020-06-18,3.7989931533755397,3435.8178358066702,68526.06280479653,,,,,71961.8806406032
2020-06-19,3.71393001161497,3288.5977717923784,68673.36793195258,,,,,71961.96570374497
2020-06-20,3.6342962820072273,3147.6841394962976,68814.36119797827,,,,,71962.04533747457
2020-06-21,3.5596746212077703,3012.8069724639035,68949.31298667146,,,,,71962.11995913537
2020-06-22,3.4896860179643707,2883.707840980428,69078.4821067582,,,,,71962.18994773862
2020-06-23,3.4239857069719313,2760.139361453366,69202.11628659624,,,,,71962.2556480496
2020-06-24,3.3622595877865136,2641.8647263389303,69320.45264782986,,,,,71962.3173741688
2020-06-25,3.3042210404222567,2528.6572538265054,69433.71815888965,,,,,71962.37541271615
2020-06-26,3.249608139774303,2420.299956449573,69542.13006916722,,,,,71962.43002561679
2020-06-27,3.1981811660639274,2316.585127889381,69645.89632470113,,,,,71962.48145259051
2020-06-28,3.1497204232581124,2217.3139472072703,69745.21596612605,,,,,71962.52991333332
2020-06-29,3.1040242739712833,2122.2960998158765,69840.27950966673,,,,,71962.5756094826
2020-06-30,3.0609074185153347,2031.3494144810288,69931.26931185703,,,,,71962.61872633806
2020-07-01,3.020199336502161,1944.299515706232,70018.35991871383,,,,,71962.65943442006
2020-07-02,2.9817429182564377,1860.9794908574552,70101.71839998085,,,,,71962.6978908383
2020-07-03,2.9453932213295277,1781.2295714130685,70181.50466912217,,,,,71962.73424053524
2020-07-04,2.911016374440475,1704.896827758505,70257.87178962362,,,,,71962.76861738213
2020-07-05,2.878488580731132,1631.8348769485194,70330.96626822732,,,,,71962.80114517584
2020-07-06,2.8476952332873036,1561.903602905415,70400.92833561786,,,,,71962.83193852328
2020-07-07,2.8185301121729966,1494.968888520125,70467.89221512427,,,,,71962.86110364439
2020-07-08,2.7908946662502245,1430.902359165594,70531.98637992473,,,,,71962.88873909033
2020-07-09,2.764697362483365,1369.5811371345378,70593.33379925955,,,,,71962.91493639408
2020-07-10,2.739853098023992,1310.887606538755,70652.05217411979,,,,,71962.93978065855
2020-07-11,2.716282674301994,1254.7091882528168,70708.25416282944,,,,,71962.96335108226
2020-07-12,2.6939123184205918,1200.9381244481192,70762.04759699003,,,,,71962.98572143815
2020-07-13,2.6726732334182044,1149.471272271088,70813.53568825207,,,,,71963.00696052315
2020-07-14,2.652501221877252,1100.2099064376548,70862.81722609705,,,,,71963.0271325347
